                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.60392,                0.40221,                 0.9299,                0.86133,                0.81467,                0.89202,                0.74112,                0.61404,                0.44814,                 0.8977,              7.657e-05,              7.657e-05,              7.657e-05
                     74,                0.60181,                 0.3984,                0.91482,                0.87376,                0.81686,                0.89898,                0.74648,                0.61117,                0.45731,                0.90223,              7.624e-05,              7.624e-05,              7.624e-05
                     75,                0.61154,                0.40591,                0.91573,                 0.8857,                0.80259,                0.88894,                0.73531,                0.62592,                0.47562,                 0.9007,              7.591e-05,              7.591e-05,              7.591e-05
                     76,                0.58828,                0.40268,                0.92289,                0.89136,                0.80634,                0.88741,                0.75136,                0.60327,                0.44595,                0.89762,              7.558e-05,              7.558e-05,              7.558e-05
                     77,                0.59698,                0.40271,                0.91734,                0.89857,                0.82574,                0.89252,                0.74954,                 0.6001,                0.44456,                0.90418,              7.525e-05,              7.525e-05,              7.525e-05
                     78,                0.56249,                0.37862,                 0.9113,                0.86239,                0.83139,                0.91173,                0.73778,                0.61869,                0.46395,                0.90278,              7.492e-05,              7.492e-05,              7.492e-05
                     79,                0.57069,                0.37524,                0.91338,                0.91826,                0.81971,                0.91863,                0.76369,                0.63684,                0.47438,                0.90835,              7.459e-05,              7.459e-05,              7.459e-05
                     80,                  0.589,                 0.3875,                0.90898,                 0.8786,                0.79596,                0.88484,                0.73969,                0.63624,                0.49621,                0.90671,              7.426e-05,              7.426e-05,              7.426e-05
                     81,                0.58334,                0.38033,                0.91095,                0.86194,                0.84744,                 0.8823,                0.74142,                0.62094,                0.43951,                0.90787,              7.393e-05,              7.393e-05,              7.393e-05
                     82,                0.55686,                0.37182,                0.90704,                0.86943,                0.84611,                 0.8737,                0.73768,                0.60023,                0.42014,                0.89819,               7.36e-05,               7.36e-05,               7.36e-05
                     83,                0.54387,                0.36185,                0.91217,                0.83432,                0.81884,                0.85824,                0.73099,                0.61366,                0.46351,                0.89784,              7.327e-05,              7.327e-05,              7.327e-05
                     84,                0.56838,                0.37567,                0.90794,                0.87029,                0.84675,                0.88011,                0.74697,                0.59939,                0.44252,                0.88614,              7.294e-05,              7.294e-05,              7.294e-05
                     85,                0.56441,                0.36536,                0.91246,                0.87478,                0.82432,                 0.8816,                0.74037,                0.62613,                0.44403,                0.89029,              7.261e-05,              7.261e-05,              7.261e-05
                     86,                0.54308,                0.37088,                0.91054,                0.86544,                0.83458,                 0.8968,                0.75368,                0.61785,                 0.4446,                 0.8959,              7.228e-05,              7.228e-05,              7.228e-05
                     87,                0.57198,                0.37528,                0.90325,                0.90264,                0.84443,                0.91959,                0.77595,                0.60622,                0.44824,                0.89671,              7.195e-05,              7.195e-05,              7.195e-05
